Date,Category,Subcategory,Dollars,Dollars_last_year,Dollars_3_years_ago,Unit_sales,Unit_sales_last_year,Unit_sales_3_years_ago,Share,Share_last_year,Share_3_years_ago,Percent_change_dollars_1_year,Percent_change_units_1_year,Percent_change_share_1_year,Percent_change_dollars_3_years,Percent_change_units_3_years,Percent_change_share_3_years
3/10/2021,Fruits,Whole canned,78577305,73542989,69335401,28640781,28919267,29166051,0.5,0.5,0.5,6.8,-1,1.6,13.3,-1.8,-2.7
3/10/2021,Fruits,Whole fresh/frozen,679679264,614624220,569866626,241578135,238918751,218079381,4.5,4.3,4.4,10.6,1.1,5.2,19.3,10.8,2.4
3/10/2021,Grains,Flour and mixes,22873443,23510836,21439178,7183554,7807354,7469152,0.2,0.2,0.2,-2.7,-8,-7.5,6.7,-3.8,-8.4
3/10/2021,Grains,Frozen/ready to cook,28097790,28430283,25826444,9417849,9760899,9229374,0.2,0.2,0.2,-1.2,-3.5,-6,8.8,2,-6.6
3/10/2021,Grains,Not sweet packaged/Meals and sides,39974066,41076767,37414969,27761927,29459199,28254428,0.3,0.3,0.3,-2.7,-5.8,-7.4,6.8,-1.7,-8.3
3/10/2021,Grains,Other,70700831,67904397,59914220,28102214,28120115,26245103,0.5,0.5,0.5,4.1,-0.1,-1,18,7.1,1.3
3/10/2021,Grains,"Packaged (bread, rolls, pita, tortilla, rice, pasta, cereal)",488216305,475196481,424066766,180321765,187282139,185375802,3.3,3.3,3.3,2.7,-3.7,-2.3,15.1,-2.7,-1.2
3/10/2021,"Meats, eggs, and nuts",Eggs,123986856,115412219,116332718,41959931,45521269,45622688,0.8,0.8,0.9,7.4,-7.8,2.2,6.6,-8,-8.5
3/10/2021,"Meats, eggs, and nuts",Fish fresh/frozen,120691501,121183408,92074622,14095967,16031813,12784104,0.8,0.9,0.7,-0.4,-12.1,-5.3,31.1,10.3,12.5
3/10/2021,"Meats, eggs, and nuts",Nuts and seeds processed/nut butters,45794744,45162629,45701192,11256248,11083647,11986039,0.3,0.3,0.4,1.4,1.6,-3.5,0.2,-6.1,-14
3/10/2021,"Meats, eggs, and nuts",Nuts and seeds raw,125274854,126009681,124086228,31096489,31907745,38350106,0.8,0.9,1,-0.6,-2.5,-5.4,1,-18.9,-13.3
3/10/2021,"Meats, eggs, and nuts",Other,56685940,57813987,49032218,26936941,28507168,27456379,0.4,0.4,0.4,-2,-5.5,-6.7,15.6,-1.9,-0.7
3/10/2021,"Meats, eggs, and nuts",Poultry fresh/frozen,441386745,418456792,379465145,81191294,84089381,80517269,3,2.9,3,5.5,-3.4,0.3,16.3,0.8,-0.1
3/10/2021,"Meats, eggs, and nuts",Regular meat canned,28179020,25445249,23229950,12395580,12420116,12712519,0.2,0.2,0.2,10.7,-0.2,5.3,21.3,-2.5,4.2
3/10/2021,"Meats, eggs, and nuts",Regular meat fresh/frozen,1093518412,984173461,861042184.1,229478590,242626896,234563890,6.8,6.55,6.55,6.4,-5.4,1.2,21.6,-2.2,4.4
3/10/2021,Other,Other,558987668,528600139,448859580,104174294,104472957,94658147,3.7,3.7,3.5,5.7,-0.3,0.6,24.5,10.1,6.9
3/10/2021,Sugar and sweeteners,Raw,62118245,63379978,57927858,16386294,17903204,18139958,0.4,0.4,0.5,-2,-8.5,-6.8,7.2,-9.7,-7.9
3/10/2021,Vegetables,Dark green canned,585937,435542,651896,498957,401321,646508,0,0,0,28.95,7.05,17.8,-10.1,-22.8,-22.8
3/10/2021,Vegetables,Dark green fresh/frozen,222769834,224362363,189466905,80858076,85430428,75582804,1.5,1.6,1.5,-0.7,-5.4,-5.6,17.6,7,1
3/10/2021,Vegetables,Legumes canned,42318306,46718201,40161784,33880233,39303734,35962067,0.3,0.3,0.3,-9.4,-13.8,-13.8,5.4,-5.8,-9.5
3/10/2021,Vegetables,Legumes fresh/frozen,34216370,35084366,32113423,14574902,15436542,15092043,0.2,0.2,0.3,-2.5,-5.6,-7.2,6.5,-3.4,-8.5
3/10/2021,Vegetables,"Not sweet canned (soups, sauces, etc)",9287118,9306422,8065426,2187489,2332054,2139268,0.1,0.1,0.1,-0.2,-6.2,-5.1,15.1,2.3,-1.1
3/10/2021,Vegetables,Orange canned,1200443,940071,1070099,1366592,929511,1322976,0,0,0,27.7,7.05,17.8,12.2,3.3,-3.7
3/10/2021,Vegetables,Orange fresh/frozen,62262906,64146480,56106875,26467775,28908354,26061171,0.4,0.5,0.4,-2.9,-8.4,-7.7,11,1.6,-4.7
3/10/2021,Vegetables,Other,121110449,123023175,104673016,56817155,59945220,52686667,0.8,0.9,0.8,-1.6,-5.2,-6.4,15.7,7.8,-0.7
3/10/2021,Vegetables,Other-mostly water canned,59748555,60432178,52405986,25478213,26882876,24410573,0.4,0.4,0.4,-1.1,-5.2,-6,14,4.4,-2.1
3/10/2021,Vegetables,Other-mostly water fresh/frozen,150277704,156382413,134980630,82511007,88231284,76428277,1,1.1,1.1,-3.9,-6.5,-8.6,11.3,8,-4.4
3/10/2021,Vegetables,Other-nutrient-dense canned,31895188,36658047,30627522,30005262,35784485,32368247,0.2,0.3,0.2,-13,-14.15,-17.2,4.1,-7.3,-10.6
3/10/2021,Vegetables,Other-nutrient-dense fresh/frozen,135923000,140813871,118106382,75303180,80007087,71208261,0.9,1,0.9,-3.5,-5.9,-8.2,15.1,5.8,-1.2
3/10/2021,Vegetables,Starchy canned,26935995,26698374,25675456,23401001,25687818,26425425,0.2,0.2,0.2,0.9,-8.9,-4,4.9,-11.4,-9.9
3/10/2021,Vegetables,Starchy fresh/frozen,78950757,79040874,68525406,28991085,30340706,26900454,0.5,0.6,0.5,-0.1,-4.4,-5,15.2,7.8,-1.1
10/10/2021,Alcohol,Other,1093518412,984173461,861042184.1,152247736,159483615,141109130,6.8,6.55,6.55,-3.2,-4.5,-8.8,18.8,7.9,-0.9
10/10/2021,Beverages,Carbonated non-alcoholic,879378178,798908847,707020090,274847328,282281113.4,276043695.6,5.8,5.6,5.5,10.1,-2.8,3.7,24.4,-0.7,3.8
10/10/2021,Beverages,Fruit drinks and non-carbonated sugary,895403730,791465626,662887710,274847328,282281113.4,276043695.6,5.9,5.5,5.2,13.1,4.2,6.6,35.1,16.7,12.7
10/10/2021,Beverages,Other,248766882,245074358,227442629,36280358,37324791,36333799,1.6,1.7,1.8,1.5,-2.8,-4.4,9.4,-0.1,-8.7
10/10/2021,Beverages,Water,426600469,374370420,324189923,172520191,165512791,154973916,2.8,2.6,2.5,14,4.2,7.4,31.6,11.3,9.8
10/10/2021,Commercially prepared items,"Not sweet canned (soups, sauces, etc)",269424872,260922030,220800302,104317481,105995509,96541708,1.8,1.8,1.7,3.3,-1.6,-2.7,22,8.1,1.8
10/10/2021,Commercially prepared items,"Not sweet frozen (pizzas, french fries, fish sticks and entrees)",560621680,507465487,447771112,147937075,143961304,138521069,3.7,3.5,3.5,10.5,2.8,4.1,25.2,6.8,4.5
10/10/2021,Commercially prepared items,Not sweet packaged/Meals and sides,977055063,867176990,826551963,274847328,282281113.4,276043695.6,6.4,6,6.5,12.7,3.6,6.2,18.2,5,-1.4
10/10/2021,Commercially prepared items,Not sweet packaged/Snacks,973667671,882617455,823300392,274847328,282281113.4,276043695.6,6.4,6.1,6.5,10.3,0.5,3.9,18.3,-1.7,-1.3
10/10/2021,Commercially prepared items,Other,59517807,56131289,48865944,28163433,28002512,25420636,0.4,0.4,0.4,6,0.6,-0.1,21.8,10.8,1.6
10/10/2021,Commercially prepared items,Regular meat fresh/frozen,1159024,991778,609464,284063,270960,168580,0,0,0,16.9,4.8,10.1,56.55,22.3625,20.9625
10/10/2021,Commercially prepared items,"Sweet frozen (ice cream, frozen desserts)",294414043,292205702,245091227,74719078,76124275,68599261,1.9,2,1.9,0.8,-1.8,-5.1,20.1,8.9,0.2
10/10/2021,Commercially prepared items,"Sweet mixes (pancake, muffin, and cake mixes)",86022662,90877412,76504563,37780479,41824128,38189199,0.6,0.6,0.6,-5.3,-9.7,-10.8,12.4,-1.1,-6.2
10/10/2021,Commercially prepared items,"Sweet packaged (cookies, candy bars, bars)",1059347888,981366122,861042184.1,274847328,282281113.4,276043695.6,6.8,6.55,6.55,7.9,1.4,1.7,11.3,-3.9,-7.2
10/10/2021,Commercially prepared items,Sweet ready-to-eat (bakery items),400190193,364276935,352680810,130184648,126285362,136928606,2.6,2.5,2.8,9.9,3.1,3.5,13.5,-4.9,-5.3
10/10/2021,Dairy,Cheese,481320335,484019333,415518296,131128487,134162269,123566954,3.2,3.4,3.3,-0.6,-2.3,-6.3,15.8,6.1,-3.4
10/10/2021,Dairy,Other,341693291,336418938,314663547,112696115,116066852,117153898,2.2,2.3,2.5,1.6,-2.9,-4.3,8.6,-3.8,-9.4
10/10/2021,Dairy,Regular-fat milk,10705134,10819369,9208799,6675568,7016625,6563758,0.1,0.1,0.1,-1.1,-4.9,-6.8,16.2,1.7,-3
10/10/2021,Dairy,Yogurt and other,303959679,293162471,263575288,124960141,126887755,127318425,2,2,2.1,3.7,-1.5,-2.3,15.3,-1.9,-3.8
10/10/2021,Fats and oils,Oils,84525891,78205525,67047754,14782537,15673938,13917970,0.6,0.5,0.5,8.1,-5.7,1.8,26.1,6.2,5.2
10/10/2021,Fats and oils,Solids,93222503,95853845,88267715,27061306,29568441,27011035,0.6,0.7,0.7,-2.7,-8.5,-8.4,5.6,0.2,-11.9
10/10/2021,Fruits,Fruit juice,99270710,91266971,83350879,32708972,32398142,31313167,0.7,0.6,0.7,8.8,1,2.5,19.1,4.5,-0.6
10/10/2021,Fruits,Whole canned,81356865,75264865,69043650,30265036,29500395,29086886,0.5,0.5,0.5,8.1,2.6,1.9,17.8,4.1,-1.7
10/10/2021,Fruits,Whole fresh/frozen,669912560,607474111,553381274,238880897,236974020,215036440,4.4,4.2,4.3,10.3,0.8,3.9,21.1,11.1,1
10/10/2021,Grains,Flour and mixes,24046854,24400479,21945655,7606044,8216829,7695905,0.2,0.2,0.2,-1.4,-7.4,-7.1,9.6,-1.2,-8.6
10/10/2021,Grains,Frozen/ready to cook,29533910,29166667,25757947,10129785,10196653,9018061,0.2,0.2,0.2,1.3,-0.7,-4.6,14.7,12.3,-4.3
10/10/2021,Grains,Not sweet packaged/Meals and sides,42091649,41632114,37741326,29880741,30590718,28835766,0.3,0.3,0.3,1.1,-2.3,-4.7,11.5,3.6,-6.9
10/10/2021,Grains,Other,74582301,70072233,61780417,29467524,28821491,27849819,0.5,0.5,0.5,6.4,2.2,0.3,20.7,5.8,0.7
10/10/2021,Grains,"Packaged (bread, rolls, pita, tortilla, rice, pasta, cereal)",497469304,480131654,424841308,183802903,189881391,186581616,3.3,3.3,3.3,3.6,-3.2,-2.4,17.1,-1.5,-2.3
10/10/2021,"Meats, eggs, and nuts",Eggs,126695886,117831206,116859558,42908347,46119763,46501178,0.8,0.8,0.9,7.5,-7,1.3,8.4,-7.7,-9.5
10/10/2021,"Meats, eggs, and nuts",Fish fresh/frozen,123693741,123208627,89392475,14547787,16345523,12541953,0.8,0.9,0.7,0.4,-11,-5.4,38.4,16,15.4
10/10/2021,"Meats, eggs, and nuts",Nuts and seeds processed/nut butters,46646949,46514793,46444142,11250869,11702924,12676047,0.3,0.3,0.4,0.3,-3.9,-5.5,0.4,-11.2,-16.2
10/10/2021,"Meats, eggs, and nuts",Nuts and seeds raw,127602120,126784670,121219739,31380902,32128998,35533820,0.8,0.9,1,0.6,-2.3,-5.2,5.3,-11.7,-12.2
10/10/2021,"Meats, eggs, and nuts",Other,60156341,58179090,48475983,28982427,28671367,26787403,0.4,0.4,0.4,3.4,1.1,-2.6,24.1,8.2,3.5
10/10/2021,"Meats, eggs, and nuts",Poultry fresh/frozen,452553068,422782920,379678463,83046517,85048778,80313329,3,2.9,3,7,-2.4,0.9,19.2,3.4,-0.6
10/10/2021,"Meats, eggs, and nuts",Regular meat canned,30605066,27390537,24388376,13455543,13685016,13678776,0.2,0.2,0.2,11.7,-1.7,5.3,25.5,-1.6,4.7
10/10/2021,"Meats, eggs, and nuts",Regular meat fresh/frozen,1093518412,984173461,861042184.1,236259501,244840068,237198649,6.8,6.55,6.55,8.1,-3.5,1.8,25.3,-0.4,4.5
10/10/2021,Other,Other,582572500,538724667,432913997,108617571,106964795,93415113,3.8,3.7,3.4,8.1,1.5,1.9,34.6,16.3,12.3
10/10/2021,Sugar and sweeteners,Raw,64887109,65488196,57618608,17164662,18714827,18116631,0.4,0.5,0.5,-0.9,-8.3,-6.6,12.6,-5.3,-6
10/10/2021,Vegetables,Dark green canned,625604,462221,627846,530570,436576,617080,0,0,0,28.95,7.05,17.8,-0.4,-14,-16.9
10/10/2021,Vegetables,Dark green fresh/frozen,224710418,223251673,186041325,80646291,85210523,74506567,1.5,1.6,1.5,0.7,-5.4,-5.2,20.8,8.2,0.8
10/10/2021,Vegetables,Legumes canned,45053463,45705386,42347743,35947501,38195027,37944593,0.3,0.3,0.3,-1.4,-5.9,-7.1,6.4,-5.3,-11.2
10/10/2021,Vegetables,Legumes fresh/frozen,35561885,35374907,32342530,15130355,15588231,15262713,0.2,0.2,0.3,0.5,-2.9,-5.3,10,-0.9,-8.3
10/10/2021,Vegetables,"Not sweet canned (soups, sauces, etc)",9397865,9403072,7938724,2288205,2405452,2133849,0.1,0.1,0.1,-0.1,-4.9,-5.8,18.4,7.2,-1.2
10/10/2021,Vegetables,Orange canned,1286354,886274,1095305,1464905,852134,1356142,0,0,0,28.95,7.05,17.8,17.4,8,-2
10/10/2021,Vegetables,Orange fresh/frozen,69475323,68342555,60717330,28558924,29815243,27385306,0.5,0.5,0.5,1.7,-4.2,-4.2,14.4,4.3,-4.5
10/10/2021,Vegetables,Other,124036385,123874565,105803863,58101350,60137551,53752877,0.8,0.9,0.8,0.1,-3.4,-5.7,17.2,8.1,-2.2
10/10/2021,Vegetables,Other-mostly water canned,61661824,60930869,52393911,26204753,26907669,24648986,0.4,0.4,0.4,1.2,-2.6,-4.6,17.7,6.3,-1.8
10/10/2021,Vegetables,Other-mostly water fresh/frozen,152363307,156993066,136226111,83226395,88037450,77923690,1,1.1,1.1,-2.9,-5.5,-8.6,11.8,6.8,-6.7
10/10/2021,Vegetables,Other-nutrient-dense canned,35042966,35580194,34460316,33472631,34634892,36181775,0.2,0.2,0.3,-1.5,-3.4,-7.2,1.7,-7.5,-15.2
10/10/2021,Vegetables,Other-nutrient-dense fresh/frozen,137380454,140430400,117617625,75172452,80115185,71862783,0.9,1,0.9,-2.2,-6.2,-7.8,16.8,4.6,-2.5
10/10/2021,Vegetables,Starchy canned,29827582,27925430,26739653,25328002,26462747,27475708,0.2,0.2,0.2,6.8,-4.3,0.6,11.5,-7.8,-6.9
10/10/2021,Vegetables,Starchy fresh/frozen,79794999,79335227,69294430,28082044,29125603,26868245,0.5,0.6,0.5,0.6,-3.6,-5.2,15.2,4.5,-3.9
10/17/2021,Alcohol,Other,1093518412,984173461,861042184.1,151485347,157532045,139221701,6.8,6.55,6.55,-2.3,-3.8,-8.8,19.7,8.8,-2.2
10/17/2021,Beverages,Carbonated non-alcoholic,868012805,782911633,685982427,274847328,282281113.4,276043695.6,5.7,5.5,5.5,10.9,-0.9,3.5,26.5,1.7,3.4
10/17/2021,Beverages,Fruit drinks and non-carbonated sugary,883901044,777514005,641926104,274847328,282281113.4,271101275,5.8,5.5,5.2,13.7,5,6.1,37.7,20.4,12.5
10/17/2021,Beverages,Other,248795970,242824288,225223245,36282432,36925782,35906144,1.6,1.7,1.8,2.5,-1.7,-4.3,10.5,1,-9.8
10/17/2021,Beverages,Water,415768307,361666592,302081717,167858658,160530477,145199589,2.7,2.5,2.4,15,4.6,7.3,37.6,15.6,12.4
10/17/2021,Commercially prepared items,"Not sweet canned (soups, sauces, etc)",268247282,257342187,210576200,104203247,104901319,92296834,1.8,1.8,1.7,4.2,-0.7,-2.7,27.4,12.9,4
10/17/2021,Commercially prepared items,"Not sweet frozen (pizzas, french fries, fish sticks and entrees)",556718939,501991201,437430741,145868255,143080105,135268195,3.7,3.5,3.5,10.9,1.9,3.5,27.3,7.8,4
10/17/2021,Commercially prepared items,Not sweet packaged/Meals and sides,980332745,864759393,812197027,274847328,282281113.4,276043695.6,6.4,6.1,6.5,13.4,4.9,5.8,20.7,8.6,-1.4
10/17/2021,Commercially prepared items,Not sweet packaged/Snacks,970604245,865445048,807959822,274847328,282281113.4,276043695.6,6.4,6.1,6.5,12.2,1.7,4.7,20.1,-1.1,-1.9
10/17/2021,Commercially prepared items,Other,59176772,55915518,46951921,27921551,27998601,24434172,0.4,0.4,0.4,5.8,-0.3,-1.2,26,14.3,2.9
10/17/2021,Commercially prepared items,Regular meat fresh/frozen,1055113,889010,602299,262149,237040,169499,0,0,0,18.7,7.05,10.8,56.55,22.3625,20.9625
10/17/2021,Commercially prepared items,"Sweet frozen (ice cream, frozen desserts)",287735696,286487227,229854187,72917984,74276249,63907208,1.9,2,1.8,0.4,-1.8,-6.2,25.2,14.1,2.2
10/17/2021,Commercially prepared items,"Sweet mixes (pancake, muffin, and cake mixes)",89849980,93244735,77730658,39575260,42983517,38634074,0.6,0.7,0.6,-3.6,-7.9,-10,15.6,2.4,-5.6
10/17/2021,Commercially prepared items,"Sweet packaged (cookies, candy bars, bars)",1091986582,984173461,861042184.1,274847328,282281113.4,276043695.6,6.8,6.55,6.55,9.6,2.1,2.4,11.5,-4,-8.9
10/17/2021,Commercially prepared items,Sweet ready-to-eat (bakery items),401243240,360203345,351088776,130201571,123704610,135629479,2.6,2.5,2.8,11.4,5.3,4,14.3,-4,-6.7
10/17/2021,Dairy,Cheese,476960537,479420489,403343000,130250197,132786483,120340054,3.1,3.4,3.2,-0.5,-1.9,-7.1,18.3,8.2,-3.4
10/17/2021,Dairy,Other,342536989,334592166,309307952,112429277,115486189,114931895,2.3,2.4,2.5,2.4,-2.6,-4.4,10.7,-2.2,-9.5
10/17/2021,Dairy,Regular-fat milk,11375769,11001381,9009412,7177747,7120738,6433970,0.1,0.1,0.1,3.4,0.8,-3.5,26.3,11.6,3.1
10/17/2021,Dairy,Yogurt and other,301931489,291478879,258601259,124114072,125234937,123863797,2,2.1,2.1,3.6,-0.9,-3.3,16.8,0.2,-4.6
10/17/2021,Fats and oils,Oils,84347015,73882229,62069723,14626959,14919994,12904049,0.6,0.5,0.5,14.2,-2,6.6,35.9,13.4,11
10/17/2021,Fats and oils,Solids,96256786,95723694,87557325,28460489,29441255,26679007,0.6,0.7,0.7,0.6,-3.3,-6.1,9.9,6.7,-10.2
10/17/2021,Fruits,Fruit juice,97948987,89550681,81479664,32256632,31833334,31110157,0.6,0.6,0.7,9.4,1.3,2.1,20.2,3.7,-1.8
10/17/2021,Fruits,Whole canned,81187138,74871620,66981579,29915699,29341160,28029815,0.5,0.5,0.5,8.4,2,1.2,21.2,6.7,-1
10/17/2021,Fruits,Whole fresh/frozen,659467866,597640175,533495150,234583684,232769214,205856858,4.3,4.2,4.3,10.3,0.8,3,23.6,14,1
10/17/2021,Grains,Flour and mixes,24831783,24326731,21346638,7818990,8185145,7497103,0.2,0.2,0.2,2.1,-4.5,-4.7,16.3,4.3,-5
10/17/2021,Grains,Frozen/ready to cook,29349179,29273622,25516946,9808739,10110653,8900202,0.2,0.2,0.2,0.3,-3,-6.4,15,10.2,-6.1
10/17/2021,Grains,Not sweet packaged/Meals and sides,42561387,40454059,35766394,30072607,28880369,26676300,0.3,0.3,0.3,5.2,4.1,-1.8,19,12.7,-2.8
10/17/2021,Grains,Other,74645356,69659975,58204099,29345479,28703156,25968334,0.5,0.5,0.5,7.2,2.2,0.1,28.2,13,4.7
10/17/2021,Grains,"Packaged (bread, rolls, pita, tortilla, rice, pasta, cereal)",493132517,472480942,411493588,182399940,186627948,178917785,3.2,3.3,3.3,4.4,-2.3,-2.6,19.8,1.9,-2.1
10/17/2021,"Meats, eggs, and nuts",Eggs,125815155,118440227,112977021,42759736,46875061,44631639,0.8,0.8,0.9,6.2,-8.8,-0.8,11.4,-4.2,-9
10/17/2021,"Meats, eggs, and nuts",Fish fresh/frozen,118411878,117572051,84577806,13779950,15542497,11682744,0.8,0.8,0.7,0.7,-11.3,-6,40,18,14.4
10/17/2021,"Meats, eggs, and nuts",Nuts and seeds processed/nut butters,46749384,45341083,43649658,11067232,11216563,11568493,0.3,0.3,0.4,3.1,-1.3,-3.7,7.1,-4.3,-12.5
10/17/2021,"Meats, eggs, and nuts",Nuts and seeds raw,130140884,126436563,121233388,32158916,32312045,35775374,0.9,0.9,1,2.9,-0.5,-3.9,7.3,-10.1,-12.3
10/17/2021,"Meats, eggs, and nuts",Other,58934458,56600129,44885970,27510557,27239002,24460271,0.4,0.4,0.4,4.1,1,-2.8,31.3,12.5,7.2
10/17/2021,"Meats, eggs, and nuts",Poultry fresh/frozen,452851980,415600909,363644181,82712488,83833000,77101848,3,2.9,2.9,9,-1.3,1.7,24.5,7.3,1.7
10/17/2021,"Meats, eggs, and nuts",Regular meat canned,31046256,25476088,21652804,13337320,12483099,11579215,0.2,0.2,0.2,21.9,6.8,13.8,43.4,15.2,17.1
10/17/2021,"Meats, eggs, and nuts",Regular meat fresh/frozen,1093518412,984173461,861042184.1,233915077,241492498,222575813,6.8,6.55,6.55,9.6,-3.1,2.4,30.1,5.1,6.2
10/17/2021,Other,Other,569498987,522067239,413221276,107361550,104633363,89511749,3.7,3.7,3.3,9.1,2.6,1.9,37.8,19.9,12.6
10/17/2021,Sugar and sweeteners,Raw,66083524,64247627,56227361,17438920,18282221,17653839,0.4,0.5,0.5,2.9,-4.6,-4,17.5,-1.2,-4
10/17/2021,Vegetables,Dark green canned,634486,451743,578215,527215,425730,574502,0,0,0,28.95,7.05,17.8,9.7,-8.2,-10.4
10/17/2021,Vegetables,Dark green fresh/frozen,223925011,223203514,180504746,80098553,84122224,71461793,1.5,1.6,1.5,0.3,-4.8,-6.3,24.1,12.1,1.3
10/17/2021,Vegetables,Legumes canned,47173867,45555360,41502988,37892350,38108430,37265828,0.3,0.3,0.3,3.6,-0.6,-3.3,13.7,1.7,-7.2
10/17/2021,Vegetables,Legumes fresh/frozen,36133211,35579272,31556126,15097175,15887638,14956475,0.2,0.3,0.3,1.6,-5,-5.2,14.5,0.9,-6.5
10/17/2021,Vegetables,"Not sweet canned (soups, sauces, etc)",9108897,9172576,7782162,2189720,2248561,2032667,0.1,0.1,0.1,-0.7,-2.6,-7.3,17,7.7,-4.4
10/17/2021,Vegetables,Orange canned,1374868,919965,1117887,1565288,913136,1390343,0,0,0,28.95,7.05,17.8,23,12.6,0.5
10/17/2021,Vegetables,Orange fresh/frozen,73287255,71688890,66920954,29924168,30902648,28588998,0.5,0.5,0.5,2.2,-3.2,-4.5,9.5,4.7,-10.6
10/17/2021,Vegetables,Other,123541997,123405998,103794861,57369232,60173591,52762124,0.8,0.9,0.8,0.1,-4.7,-6.5,19,8.7,-2.8
10/17/2021,Vegetables,Other-mostly water canned,61629076,60636123,49936203,26006684,26740125,23237694,0.4,0.4,0.4,1.6,-2.7,-5.1,23.4,11.9,0.8
10/17/2021,Vegetables,Other-mostly water fresh/frozen,152443774,156490482,133727012,83383045,87930520,76344962,1,1.1,1.1,-2.6,-5.2,-9,14,9.2,-6.9
10/17/2021,Vegetables,Other-nutrient-dense canned,35649252,36775944,34976661,33307168,35345006,35589926,0.2,0.3,0.3,-3.1,-5.8,-9.5,1.9,-6.4,-16.8
10/17/2021,Vegetables,Other-nutrient-dense fresh/frozen,136805666,140880741,115066447,75069144,79757467,68244288,0.9,1,0.9,-2.9,-5.9,-9.3,18.9,10,-2.9
